vehicle_brand,year,engine_capacity,miles_driven,selling_price
Volkswagen,2010,1.4,60,10700
Toyota,2011,2.5,75,23500
Renault,2011,1.5,84,8400
Volkswagen,1994,1.9,250,1199
Volkswagen,2008,3,151,20800
Volkswagen,2011,1.6,200,9300
BMW,2010,2,158,17000
Renault,2012,1.5,177,11700
Volkswagen,2016,1.6,1,14500
Volkswagen,1996,2.8,300,3800
Toyota,2016,1.33,1,17394.0858
Audi,2004,2,420,3700
Volkswagen,2013,2,110,18000
Audi,2007,3,245,23500
Audi,2009,2,125,18300
Mercedes-Benz,1997,2.9,380,7300
Toyota,2012,2.5,88,21900
Volkswagen,2007,2.5,179,18200
Mercedes-Benz,2008,2.2,234,15300
Volkswagen,2013,1.4,123,13900
BMW,1994,3,333,4700
Volkswagen,2012,2,158,14899
Mitsubishi,2000,3,320,8500
Audi,2006,3,245,18500
Volkswagen,1993,2.4,400,5000
Audi,2006,2.7,200,8000
Volkswagen,2011,1.6,181,9000
Toyota,2008,2.4,139,13500
Renault,2009,1.5,100,6450
Audi,1999,2.5,280,2500
Volkswagen,2012,1.6,152,9555
Mercedes-Benz,2007,3,165,22600
Volkswagen,1999,1.9,330,2600
Mercedes-Benz,2007,2.2,211,11700
Mercedes-Benz,2002,2.2,197,7000
BMW,1997,2.8,320,6899
Volkswagen,2008,1.6,130,9700
Volkswagen,2001,2.5,325,6800
Audi,2011,2,122,22800
Mercedes-Benz,2002,2.2,400,3100
BMW,2007,3,186,21000
Mitsubishi,2012,2.4,47,21500
Volkswagen,2006,1.8,160,4100
Renault,2012,1.5,148,7440
Mercedes-Benz,2000,2,230,7000
Volkswagen,2002,1.8,320,6900
Mercedes-Benz,1992,2.5,240,1350
Volkswagen,2003,1.4,180,7350
BMW,2001,1.9,250,8999
BMW,2002,2.2,300,8990
Volkswagen,2005,1.9,168,7400
Mercedes-Benz,1997,2.9,400,2700
Mercedes-Benz,1997,2.9,360,2150
Toyota,2009,1,87,11300
Renault,2004,1.9,208,7450
Renault,2012,2,190,10100
Mercedes-Benz,2002,2.2,257,3500
Volkswagen,1996,2,197,3650
Mercedes-Benz,1995,1.8,257,1650
Volkswagen,2012,2,1,15900
Volkswagen,1994,1.8,262,3750
Audi,2010,2,99,22500
Renault,2003,1.9,245,2350
Volkswagen,2007,1.9,207,12500
Audi,1996,2.5,421,6500
Audi,2003,2.5,190,4400
Mitsubishi,2007,2,143,7900
Mercedes-Benz,2006,2.2,386,16500
Volkswagen,2014,1,11,12650
Volkswagen,2011,1.6,66,10000
Mercedes-Benz,2007,3,266,16800
Mercedes-Benz,2006,2.5,154,10200
BMW,1997,2.5,300,2250
Toyota,2003,2,289,5000
Mercedes-Benz,1996,2.3,239,6900
Volkswagen,2006,3.2,186,12000
Mitsubishi,2007,1.6,152,6500
BMW,2006,2.5,250,15300
Mercedes-Benz,2010,2,69,20200
Volkswagen,2002,2.5,255,9700
Audi,2003,2.5,189,9700
Volkswagen,2011,2,62,22500
Audi,1999,2.5,250,1850
BMW,1997,2.5,290,2200
BMW,2013,3,69,22600
Volkswagen,1993,1.9,318,3000
Audi,2012,1.8,43,24300
Volkswagen,2013,2,154,13499
Renault,2010,2,159,12350
Renault,2011,2,64,12350
Volkswagen,2012,1.4,1,4200
Mercedes-Benz,2007,3,160,24800
Mercedes-Benz,2002,3.2,180,9500
Volkswagen,2009,2,229,14500
Audi,2001,2.5,223,3400
Mercedes-Benz,2007,3,232,18900
Toyota,2016,1.6,1,20711.2464
Volkswagen,1991,1.8,201,3399
Volkswagen,1994,2.8,330,3600
Audi,1990,2.2,360,3500
BMW,1998,2.5,298,6500
Renault,2013,1.2,57,8500
Volkswagen,1994,2,220,3500
Volkswagen,1999,1.4,247,1700
Mitsubishi,2008,2,95,9300
Volkswagen,2005,2,220,4500
Mercedes-Benz,2004,3.2,300,6100
Volkswagen,2008,2,187,12000
Volkswagen,1994,1.6,238,4400
Audi,2002,2.5,255,9499
Audi,2006,2,250,5700
BMW,1999,2.5,303,2200
Renault,2012,2,83,14200
Toyota,2005,2.7,161,18900
Mitsubishi,2008,2,130,10500
Audi,2000,2.8,186,9300
Volkswagen,2016,1.6,1,13300.95
Mitsubishi,2006,1.3,250,5100
Mitsubishi,2012,2.5,11,24500
Toyota,2009,2,35,17999
Volkswagen,1995,1.6,297,2500
Volkswagen,2008,1.8,152,12000
Mercedes-Benz,1999,3,300,2300
BMW,2001,2,240,8900
Mitsubishi,2007,1.6,195,7500
Mercedes-Benz,2012,2.2,217,14600
Mitsubishi,2009,1.8,125,8900
Toyota,2008,2.4,71,14300
Mercedes-Benz,2008,1.8,107,17300
BMW,2006,3,218,12000
Renault,2012,2,164,10100
BMW,1995,2,300,4400
Mercedes-Benz,2002,2,190,7400
Audi,1998,2.5,304,2550
Audi,1999,2.8,407,2500
Volkswagen,2011,2,125,18500
Renault,2008,1.5,73,6300
Volkswagen,2000,1.9,300,2700
Toyota,2012,2.5,77,20999
Mercedes-Benz,2005,2.2,275,9900
Toyota,2008,1.6,87,10400
BMW,1999,2,294,3000
Renault,2012,1.5,151,7650
Mitsubishi,2007,3.2,160,18000
Toyota,2014,1.3,43,9003.15
Volkswagen,2013,1.4,80,15500
Volkswagen,2011,2,140,10600
Renault,2013,1.5,141,11300
Mitsubishi,2008,2.4,142,12499
Volkswagen,2008,1.6,185,9600
Volkswagen,1995,2.4,326,5000
Audi,2007,2,177,15499
BMW,2004,2.5,300,11900
BMW,2002,3,230,6499
Renault,2012,1.5,127,11000
Volkswagen,2007,2,235,10300
Renault,2007,1.5,180,5700
Renault,2012,1.5,156,7400
Mercedes-Benz,2007,3.5,225,22000
Audi,2007,1.8,85,11500
Renault,2005,1.5,250,3300
Mercedes-Benz,2008,3.5,180,18500
Renault,2009,1.5,222,6999
Toyota,2007,1.8,185,10200
Volkswagen,2007,2,128,12500
Audi,1996,1.6,305,6100
Mercedes-Benz,2012,1.8,162,17800
Volkswagen,2006,2,110,9850
Audi,2006,2.4,165,12500
Volkswagen,2003,1.8,325,7650
Audi,1997,2.8,380,4000
Audi,1996,1.9,263,4000
Volkswagen,2011,1.4,145,16900
Mitsubishi,2011,2.5,98,21000
Mitsubishi,2008,2,105,8800
BMW,2001,2.5,315,9500
BMW,2006,3,250,13500
Mercedes-Benz,1995,1.8,350,5000
Renault,2012,1.5,188,11999
Volkswagen,2008,1.9,137,10200
Volkswagen,2003,1.9,180,2200
BMW,2006,3,210,11800
BMW,2000,2,260,2899
BMW,1998,2,241,8200
Volkswagen,2008,2,130,11500
Mitsubishi,2013,1.6,52,12400
Mitsubishi,2009,3,135,18500
Volkswagen,2011,1.6,18,18000
Volkswagen,2012,1.6,101,8499
Volkswagen,2008,2.5,112,19500
Volkswagen,1995,1.6,259,5300
Volkswagen,2011,2,185,19000
Renault,2006,2.5,183,10500
Volkswagen,2013,2.2,1,18300
Mitsubishi,2008,2,110,9000
Mitsubishi,2009,3.2,109,20500
Volkswagen,2002,1.9,250,8700
Mitsubishi,1990,1.8,1,1550
Mitsubishi,1996,2,300,3500
Mercedes-Benz,2009,2.2,144,14000
Mitsubishi,2009,3,102,15500
Toyota,2008,2.4,139,13900
Mercedes-Benz,2003,3.2,186,11600
Renault,2012,2,138,10900
Audi,1998,2.5,275,2100
Mercedes-Benz,2003,2.7,250,5500
Renault,2012,1.5,165,11600
Volkswagen,2013,1.6,195,12500
BMW,2010,1.6,145,12090
Renault,2012,1.5,118,6700
Mitsubishi,2009,3.2,97,18700
Volkswagen,2004,1.6,210,7999
BMW,2002,2,295,3350
Toyota,2005,2.7,154,16800
Mercedes-Benz,2001,2,187,7500
Volkswagen,2010,1.4,95,9950
Mercedes-Benz,2011,2.2,171,14500
Volkswagen,2012,2,156,13900
Mercedes-Benz,2011,2.2,161,23500
Renault,2005,1.5,202,6300
Renault,2015,1.2,1,10396.23
Renault,2013,1.5,170,7800
Renault,2016,1.5,1,20996.235
BMW,2000,3,246,8100
Renault,2011,2,138,10300
BMW,1990,2.5,237,3200
Toyota,2007,1.8,107,9300
Renault,2007,2,220,9150
Mercedes-Benz,2001,2.2,170,7000
Mercedes-Benz,2000,2.2,215,6500
Renault,2012,2,158,9000
Mercedes-Benz,1991,2.6,409,4500
Toyota,1995,1.4,282,3700
BMW,2006,3,125,17500
Mercedes-Benz,2003,2.6,342,9300
BMW,2001,2.2,170,8899
Audi,2003,2.5,206,4500
Audi,1996,2.5,186,8300
Mercedes-Benz,1996,1.8,300,4000
Toyota,2013,3.5,125,23660
Toyota,2007,2.4,140,15500
BMW,2001,3,240,3900
Renault,2010,2.5,111,13900
Mercedes-Benz,2001,2,230,7700
BMW,1995,2.5,200,4700
Mercedes-Benz,2004,3.2,208,12500
Mitsubishi,1997,1.6,145,1850
Mercedes-Benz,2011,2.2,170,23500
Renault,1999,1.4,164,3100
Toyota,2003,2.4,180,10200
Mercedes-Benz,2012,1.8,97,24900
BMW,1999,2,290,2500
Audi,2006,1.6,165,9800
Toyota,2010,3.5,103,25500
Renault,2011,1.5,177,11950
Volkswagen,1999,2.4,380,5500
Renault,2012,1.5,84,8600
Renault,2013,1.5,157,8500
Audi,1999,2.5,310,3150
Audi,2010,2.8,127,19990
Renault,2003,1.5,245,5000
BMW,1998,2,311,6500
Volkswagen,2005,1.8,280,7500
Toyota,2008,1.6,115,8900
Renault,2007,1.5,1,4500
Volkswagen,2012,1.6,153,10600
Mercedes-Benz,2007,3,160,12700
Volkswagen,2012,2,126,9850
Mitsubishi,2007,3,165,17700
Volkswagen,2001,1.8,178,7400
Renault,2008,1.6,79,8200
Renault,2003,1.9,207,8000
Mercedes-Benz,2013,2.2,126,13995
Toyota,2011,1.6,110,11500
Renault,2012,1.5,114,9700
Volkswagen,2006,1.9,188,9500
BMW,2008,2,1,19990
BMW,2012,3,79,18500
Renault,2009,1.5,233,10500
Volkswagen,2003,1.9,255,3250
Mercedes-Benz,1997,2.3,395,3500
Mercedes-Benz,2009,2.2,190,13600
Mercedes-Benz,2000,2.2,350,3799
Volkswagen,1991,1.8,3,3500
Renault,2007,1.6,219,6800
BMW,1996,1.6,250,2600
Mitsubishi,2007,1.6,175,6150
Toyota,2008,2.4,145,12800
Volkswagen,2012,2,56,18900
Toyota,2010,1.8,100,14900
Audi,2011,2,190,18300
Volkswagen,2002,2.5,275,9000
Mercedes-Benz,2004,2.6,120,15300
Volkswagen,2008,2,150,9300
Mercedes-Benz,2003,2.2,260,8700
Volkswagen,2011,2,90,16000
Volkswagen,2014,1.6,1,11818.95
Volkswagen,2011,2,130,10650
Audi,1998,2.5,310,2000
Mercedes-Benz,2003,3.2,313,12950
Mercedes-Benz,2000,2.2,240,8700
Mercedes-Benz,2008,1.8,90,18800
Volkswagen,2007,1.6,132,9600
Mercedes-Benz,1990,2,375,3900
Renault,2009,1.5,190,9000
Renault,2005,1.5,160,5500
Toyota,2014,1.33,38,13200
Renault,2007,1.5,122,6200
Mercedes-Benz,2006,2.2,210,15250
Renault,2010,2,152,9700
Audi,2003,2.5,190,9999
Volkswagen,2011,2,167,8900
Mitsubishi,2008,3,138,15900
Renault,2004,1.9,217,8300
Mercedes-Benz,2011,2.2,193,12700
Toyota,2010,1.4,74,11000
Renault,2010,1.5,100,8700
BMW,2007,2.5,245,18000
Audi,2005,2,300,13700
Mitsubishi,2007,2.4,140,12999
Toyota,2013,1.6,50,17200
Volkswagen,2008,2.5,176,12900
Renault,2005,2.5,228,6200
BMW,2005,2.5,160,11900
Mitsubishi,2008,3,135,16950
Volkswagen,2014,2,38,16950
Toyota,2013,1.4,48,13700
Toyota,2007,2.7,240,17835
Volkswagen,2006,1.9,168,7900
Volkswagen,2011,2,170,6800
Toyota,2004,2.7,130,16500
Mitsubishi,2007,2,160,6999
BMW,1996,2.8,300,6000
Toyota,2008,3.5,102,13900
Toyota,2012,2,48,20100
Mitsubishi,2008,3.2,194,17500
Mitsubishi,2001,1.8,168,1999
Renault,2008,1.5,120,7800
Volkswagen,2003,2.5,273,11900
Toyota,2007,1.6,93,8500
Mitsubishi,2006,1.3,118,6000
Audi,1996,1.9,320,7000
Renault,2011,2,195,10550
Mitsubishi,2012,2,47,19000
Mitsubishi,2008,2.4,119,11100
Renault,2007,2,270,9400
Mercedes-Benz,2008,1.8,90,18500
Renault,2009,1.5,100,9500
Volkswagen,2004,2,250,7000
Volkswagen,2012,2,52,25500
Mitsubishi,2006,1.3,108,5999
Mitsubishi,2008,3.5,150,16500
Renault,2012,1.1,125,12800
Renault,2003,2,125,6300
Mitsubishi,2007,2,143,8700
Toyota,2012,1.4,140,9950
Volkswagen,2003,1.9,257,2900
Volkswagen,2012,1.8,107,20600
Renault,2003,1.5,300,4299
Volkswagen,2003,1.4,90,7990
Mercedes-Benz,2001,2.6,174,10200
Volkswagen,1994,1.8,161,1550
BMW,1999,2.8,300,7250
BMW,1993,1.8,204,5300
Mercedes-Benz,2011,2.2,98,13999
Audi,2004,2.5,284,9900
Mitsubishi,2008,2,112,7999
Mitsubishi,2002,3.2,269,10200
Renault,2014,1.5,66,8250
Volkswagen,1995,1.9,290,4600
Toyota,2012,2.5,80,21999
Toyota,2009,2.4,116,15300
Mercedes-Benz,2006,2.2,360,8999
Volkswagen,2005,2,235,5200
Toyota,2004,3,185,7500
Volkswagen,2005,1.4,200,8350
Volkswagen,2007,2.5,178,9900
Volkswagen,2007,2.5,153,10200
Volkswagen,2007,1.9,223,6650
Renault,2003,2,217,5800
Mitsubishi,2007,2.4,140,12200
Mercedes-Benz,1999,2.2,400,5000
Toyota,2007,2.5,180,14500
Mercedes-Benz,2012,2.2,184,9600
Volkswagen,2011,1.6,171,9900
Volkswagen,2007,2,118,11500
Mercedes-Benz,2000,2.3,220,2800
Toyota,2014,2.5,60,24000
BMW,2001,3,287,8800
Volkswagen,2007,2.5,270,10500
Renault,2005,1.9,206,8100
Mercedes-Benz,2003,2.2,248,4900
Renault,2007,2,181,7400
Renault,2012,1.5,155,11100
Renault,2005,1.5,210,7000
Toyota,2010,1.6,24,13850
Volkswagen,2000,2.5,312,6400
BMW,2007,2,245,8100
Audi,1996,1.8,250,5200
Toyota,2008,2.4,126,11700
Volkswagen,2011,2,200,22500
BMW,2008,2,114,18500
Volkswagen,2012,1.4,144,17500
Mercedes-Benz,2011,1.8,77,24500
Mercedes-Benz,2008,3,200,21999
Renault,2012,1.5,148,6450
Renault,2011,1.5,68,11900
Volkswagen,2013,1.6,59,9000
Volkswagen,2014,1.6,88,9599
Volkswagen,2011,1.6,125,8999
Audi,2005,2.4,225,10900
Renault,2004,1.5,220,4400
Renault,2012,2,183,10200
Toyota,2013,2.5,18,20900
Volkswagen,2006,1.9,345,7000
Volkswagen,2011,2,115,14100
Toyota,2008,1.8,156,11000
Renault,2005,2,175,8000
Toyota,2009,2.4,113,14100
Mercedes-Benz,2006,3,178,14500
Volkswagen,2010,1.4,91,11900
Audi,2009,3.2,114,21900
Toyota,2002,2,200,8200
Mercedes-Benz,2009,3.5,96,23900
Renault,2013,1.5,125,7600
Mitsubishi,1997,2.5,93,2600
Volkswagen,2000,1.4,200,5800
Mercedes-Benz,2011,2.2,74,22900
Volkswagen,2012,1.8,110,17650
Volkswagen,2011,2,176,11999
Mercedes-Benz,2005,2.2,220,9500
Volkswagen,2011,1.6,200,8500
BMW,1999,2.5,226,7000
Volkswagen,2013,1.4,56,15800
Mercedes-Benz,1998,2.3,400,5000
Audi,2010,3,155,20500
Volkswagen,2005,2,260,7650
BMW,1994,2.5,307,4500
Mercedes-Benz,2007,2.2,277,11900
Volkswagen,2005,1.9,216,8500
Volkswagen,2012,1.4,48,13500
Volkswagen,2007,1.6,156,9900
Toyota,2012,2.5,65,21999
Volkswagen,2015,2,25,20900
Volkswagen,2011,1.4,132,11900
Volkswagen,2011,2,167,12650
Mercedes-Benz,2000,2.7,350,9299
Mercedes-Benz,1999,2.9,40,8000
Toyota,2004,2,168,8300
Volkswagen,1999,1.9,300,4999
Volkswagen,2012,2,78,25200
BMW,2012,2,108,24000
BMW,2004,3,276,13700
Renault,2011,1.5,250,10500
Toyota,2008,1.8,142,9950
Renault,2003,1.5,165,4650
Volkswagen,2011,2,101,6500
Mercedes-Benz,1994,3.2,366,6000
Renault,2003,2,225,5750
Renault,2012,1.5,101,7200
Renault,2012,1.5,136,6400
Mitsubishi,2006,2.4,120,9700
BMW,1990,2.5,230,4700
Renault,2013,1.5,43,7500
Mitsubishi,2007,1.6,60,4999
Renault,1994,1.8,77,3400
Mercedes-Benz,2012,2.2,165,11800
Mercedes-Benz,2002,2.7,197,12950
Mercedes-Benz,1999,3.2,199,4800
Mercedes-Benz,2006,2.2,250,8000
Renault,2011,1.5,94,9300
Mitsubishi,2009,2,84,9200
BMW,1990,2,300,3650
Mercedes-Benz,2005,2.2,300,4300
Volkswagen,2014,1.4,1,10493
Renault,2012,1.6,88,9500
Toyota,2008,3.5,69,21999
Mitsubishi,2013,2,52,18600
BMW,2006,3,154,16800
Renault,2006,1.5,141,7999
Mitsubishi,2002,1.6,300,5400
Volkswagen,2003,1.9,193,3300
BMW,1998,3.5,200,5500
Volkswagen,1995,1.9,400,5500
Mitsubishi,2007,1.6,94,7500
Renault,2012,1.5,180,11100
Mitsubishi,2009,1.5,91,8400
Volkswagen,2012,1.6,75,10600
BMW,2001,2.2,147,5300
BMW,1994,2.5,313,3500
Mercedes-Benz,2012,2.2,112,24999
Audi,1999,2.5,278,3000
Mercedes-Benz,2006,3.5,193,20500
Audi,2007,2,180,15500
Renault,2013,1.5,149,10200
Audi,2002,2,207,4800
Volkswagen,2011,2,175,16700
Renault,2011,1.5,90,11700
Volkswagen,2013,1.6,108,8650
Mitsubishi,2008,2,125,9450
Volkswagen,2009,1.9,160,9800
Toyota,2008,1.3,74,7500
Volkswagen,2011,1.8,105,16999
BMW,1995,2.8,241,6300
Volkswagen,2012,2,210,11500
Mitsubishi,2012,2,63,10888
BMW,1999,2,335,4000
Volkswagen,2005,2,248,5200
Toyota,2007,2.4,157,12300
Audi,1995,1.8,226,6000
Volkswagen,2007,2.5,230,15000
Renault,2014,1.5,65,11999
Volkswagen,2002,2,238,2900
Mercedes-Benz,2010,2.2,145,17800
Volkswagen,2006,1.9,170,13900
Audi,2010,2,144,17500
BMW,1999,2,334,3500
Toyota,2007,1.6,131,8700
Volkswagen,2012,2,168,14500
Mitsubishi,2008,2.5,147,16000
Volkswagen,2007,2,214,7777
Mercedes-Benz,2007,3,130,17500
Mitsubishi,2010,1.3,65,8500
Volkswagen,2001,2.5,360,7500
Volkswagen,2012,1.6,95,10999
Renault,2007,1.5,252,4999
Audi,2002,1.9,253,9800
Volkswagen,2002,1.4,131,4999
Volkswagen,2012,1.4,103,8910.525
Renault,2004,1.5,198,4350
BMW,1995,2,340,4600
BMW,1997,2.5,285,1900
Mercedes-Benz,2010,2.2,195,23800
BMW,1997,2.5,44,2500
Toyota,2008,3.5,129,15500
Mercedes-Benz,2009,2.5,111,18900
BMW,1994,1.8,200,1900
Audi,2001,2.5,200,3500
Renault,2005,1.5,227,6650
Audi,2006,2,120,10200
Mercedes-Benz,2008,2.2,360,12800
Mercedes-Benz,1999,3.2,195,14900
Volkswagen,2008,3.2,230,17200
Volkswagen,2009,1.9,156,9200
Volkswagen,2003,1.6,250,5400
Volkswagen,2013,2,74,20700
BMW,2002,2.2,162,10999
BMW,2000,3,368,8200
Toyota,2013,1.6,73,18600
Toyota,2016,1,17,10500
BMW,2002,2.5,240,4300
Renault,2006,1.6,185,6800
Mercedes-Benz,2008,2.2,212,14490
Toyota,2002,1,170,4650
Renault,2012,1.5,132,13300
Renault,2006,1.9,183,7600
Audi,2009,3.2,98,24996
Renault,2012,1.5,137,12000
Toyota,2008,2.4,131,13300
Toyota,2016,2,1,20859.15
Mitsubishi,2003,3,281,10999
Audi,2000,2.5,240,3650
Toyota,2004,2.4,300,8800
Mercedes-Benz,2010,2.2,148,11800
Renault,2007,1.4,98,7500
Renault,2011,1.4,140,4999
Volkswagen,2008,1.9,290,12900
Volkswagen,2012,1.8,115,23300
Toyota,2005,2.7,184,15000
Volkswagen,2008,1.9,230,9900
Audi,2003,2.7,177,7999
BMW,2004,3,260,12900
BMW,1998,3.5,277,7400
Renault,1998,2,245,1550
BMW,2007,3,180,17300
Volkswagen,2003,1.4,113,6900
Audi,1998,2.4,340,4300
Audi,2010,2,160,19999
Mercedes-Benz,2006,3.5,159,16555
Volkswagen,2004,1.9,235,7750
Mercedes-Benz,2000,2,196,8700
Volkswagen,2004,2.5,137,4000
Volkswagen,2012,1.8,109,19000
Renault,2008,1.46,200,5800
Volkswagen,2007,2.5,240,10900
Volkswagen,1996,1.8,288,3950
Toyota,2011,3.5,49,20800
Renault,2012,1.5,130,8500
Mercedes-Benz,2004,1.8,82,15000
BMW,2001,3,280,7000
Volkswagen,2012,1.4,97,14700
Volkswagen,1998,1.9,182,2350
Mitsubishi,2003,1.6,92,5900
Renault,2006,1.9,250,8800
Volkswagen,2012,2,48,23500
Renault,2012,1.5,170,11500
BMW,2010,2,74,23500
Renault,2013,2.3,173,15200
Volkswagen,2012,1.6,86,8800
BMW,2007,3,148,25500
Toyota,2011,1,55,8500
BMW,1999,3.5,238,6900
Volkswagen,2014,1.6,105,10200
Volkswagen,2012,2,177,14800
Mercedes-Benz,2000,2.7,200,3300
BMW,2004,3,194,16100
Audi,1997,2.8,230,2800
Mercedes-Benz,2011,2.2,115,15000
Toyota,2007,2,82,14500
Mitsubishi,2004,1.6,180,7000
Audi,2003,1.8,274,7900
Volkswagen,2011,1.8,74,18500
Renault,2005,1.5,209,6400
Toyota,2008,1.6,118,8950
Volkswagen,2007,2.5,300,9900
BMW,1999,3,280,4600
Volkswagen,2006,1.9,304,3500
Volkswagen,2008,1.9,218,11800
Volkswagen,2002,1.8,256,6900
Audi,2003,2.5,257,9800
Renault,2012,1.5,168,6800
Mitsubishi,2008,2,136,9500
Toyota,2004,2.4,195,8400
Mitsubishi,2008,2,238,7900
Audi,2009,2,83,23500
Renault,2010,1.5,179,9000
Audi,2002,1.9,302,3900
Volkswagen,2011,1.2,62,9500
BMW,1993,2,360,4500
BMW,2001,3,339,9500
Mitsubishi,2006,2.4,130,10500
Mercedes-Benz,2004,3.5,270,3700
Mitsubishi,2008,3,125,23000
Renault,2008,1.4,87,7245
BMW,2005,3,265,17800
Mitsubishi,2006,1.6,165,5500
Volkswagen,2006,2,129,10200
Volkswagen,2013,1.6,147,13995
Mercedes-Benz,2012,2.2,180,24500
Mitsubishi,2009,2.4,84,12999
Volkswagen,2003,1.8,230,8400
Mitsubishi,2016,2,1,22711.65
Volkswagen,2005,2,16,6700
Volkswagen,2012,1.6,156,10800
Toyota,2009,2,83,14299
Volkswagen,2011,1.4,139,15880
